Date,Open,High,Low,Close,Adj Close,Volume,Repaired?,OBV,ADI,ADX,ADX_DI+,ADX_DI-,AROON_DOWN,AROON_INDICATOR,AROON_UP,MACD,MACD_HISTOGRAM,MACD_SIGNAL,STOCH,STOCH_SIGNAL,RSI
2022-10-05,12.289999961853027,12.920000076293944,11.960000038146973,12.84000015258789,12.84000015258789,16236100,False,16236100.0,13530086.021519264,,,,,,,,,,,,
2022-10-06,12.869999885559082,13.789999961853027,12.789999961853027,13.100000381469728,13.100000381469728,16076200,False,32312300.0,7421143.513203224,,,,,,,,,,,,
2022-10-07,12.5,12.800000190734863,11.010000228881836,11.210000038146973,11.210000038146973,14869400,False,17442900.0,-4125488.635105388,,,,,,,,,,,,
2022-10-10,11.050000190734863,11.3100004196167,10.329999923706056,10.760000228881836,10.760000228881836,9728000,False,7714900.0,-5316670.569798194,,,,,,,,,,,,
2022-10-11,10.739999771118164,10.949999809265137,10.039999961853027,10.460000038146973,10.460000038146973,12125900,False,-4411000.0,-6249428.198146011,,,,,,,,,,,,
2022-10-12,10.329999923706056,10.619999885559082,9.90999984741211,10.420000076293944,10.420000076293944,10334500,False,-14745500.0,-1737175.8539206432,,,,,,,,,,,,
2022-10-13,9.59000015258789,11.289999961853027,9.460000038146973,11.220000267028809,11.220000267028809,19672200,False,4926700.0,16430053.595335023,,,,,,,,,,,,
2022-10-14,11.479999542236328,11.75,10.260000228881836,10.300000190734863,10.300000190734863,15612000,False,-10685300.0,1656281.112619577,,,,,,,,,,,,
2022-10-17,10.850000381469728,11.9399995803833,10.84000015258789,11.6899995803833,11.6899995803833,19014800,False,8329500.0,12027985.70751152,,,,,,,,,,,,
2022-10-18,12.34000015258789,12.520000457763672,11.109999656677246,11.380000114440918,11.380000114440918,16526600,False,-8197100.0,1830729.012620168,,,,,,,,,,,,
2022-10-19,11.25,11.65999984741211,10.84000015258789,11.06999969482422,11.06999969482422,13156300,False,-21353400.0,-3945219.514999181,,,,,,,,,,,,
2022-10-20,10.699999809265137,11.65999984741211,10.600000381469728,10.920000076293944,10.920000076293944,11439800,False,-32793200.0,-8477973.565507958,,,,,,,,,,,,
2022-10-21,10.789999961853027,11.739999771118164,10.5600004196167,11.699999809265137,11.699999809265137,14830700,False,-17962500.0,5347255.654361777,,,,,,,,,,,,
2022-10-24,11.720000267028809,12.989999771118164,11.449999809265137,12.899999618530272,12.899999618530272,17318000,False,-644500.0,20641070.35419897,,,,,,,,,,,,
2022-10-25,12.949999809265137,14.9399995803833,12.779999732971191,14.760000228881836,14.760000228881836,24644600,False,24000100.0,41178251.52884324,,37.54068977232738,13.082546712272183,42.85714285714286,57.14285714285714,100.0,,,,,,69.28645886690924
2022-10-26,14.489999771118164,15.619999885559082,13.75,13.789999961853027,13.789999961853027,28316200,False,-4316100.0,14073438.683002405,,37.37693511673871,11.262440955767106,35.71428571428571,64.28571428571429,100.0,,,,82.15108917104463,,60.64484938162299
2022-10-27,14.220000267028809,14.550000190734863,13.5,13.649999618530272,13.649999618530272,17465400,False,-21781500.0,1598139.3717367891,,34.47651955053159,12.236082635091917,28.57142857142857,64.28571428571429,92.85714285714286,,,,78.34234123798849,,59.49154628458499
2022-10-28,13.770000457763672,14.239999771118164,13.109999656677246,13.850000381469728,13.850000381469728,17732600,False,-4048900.0,7090557.997416282,,31.6317111624877,14.074273355291208,21.42857142857143,64.28571428571429,85.71428571428572,,,,69.85930826408357,76.78424622437223,60.64303161474501
2022-10-31,13.869999885559082,14.119999885559082,13.020000457763672,13.109999656677246,13.109999656677246,14695100,False,-18744000.0,-5199909.42817324,,29.11333704935071,13.605137203269685,14.28571428571429,64.28571428571428,78.57142857142857,,,,66.17965284189792,71.46043411465665,54.47310433154417
