Datetime,Open,High,Low,Close,Adj Close,Volume,Repaired?
2023-07-26 04:00:00-04:00,378.4,378.83,378.4,378.75,378.75,0,
2023-07-26 04:01:00-04:00,378.74,378.74,378.74,378.74,378.74,0,
2023-07-26 04:02:00-04:00,378.75,378.75,378.69,378.7,378.7,0,
2023-07-26 04:03:00-04:00,378.69,378.7,378.69,378.7,378.7,0,
2023-07-26 04:04:00-04:00,378.68,378.7,378.68,378.7,378.7,0,
2023-07-26 04:05:00-04:00,378.74,378.74,378.7,378.7,378.7,0,
2023-07-26 04:06:00-04:00,378.68,378.68,378.68,378.68,378.68,0,
2023-07-26 04:07:00-04:00,378.66,378.66,378.54,378.59,378.59,0,
2023-07-26 04:08:00-04:00,378.66,378.75,378.65,378.74,378.74,0,
2023-07-26 04:09:00-04:00,378.8,378.82,378.79,378.81,378.81,0,
2023-07-26 04:10:00-04:00,378.8,378.8,378.8,378.8,378.8,0,
2023-07-26 04:11:00-04:00,378.77,378.77,378.65,378.65,378.65,0,
2023-07-26 04:12:00-04:00,378.64,378.65,378.62,378.62,378.62,0,
2023-07-26 04:13:00-04:00,378.58,378.58,378.5,378.5,378.5,0,
2023-07-26 04:14:00-04:00,378.5,378.53,378.5,378.53,378.53,0,
2023-07-26 04:15:00-04:00,378.54,378.54,378.54,378.54,378.54,0,
2023-07-26 04:16:00-04:00,378.65,378.71,378.65,378.71,378.71,0,
2023-07-26 04:17:00-04:00,378.75,378.75,378.73,378.74,378.74,0,
2023-07-26 04:18:00-04:00,378.74,378.78,378.74,378.78,378.78,0,
2023-07-26 04:19:00-04:00,378.8,378.81,378.78,378.8,378.8,0,
2023-07-26 04:20:00-04:00,378.77,378.79,378.77,378.77,378.77,0,
2023-07-26 04:22:00-04:00,378.75,378.77,378.74,378.74,378.74,0,
2023-07-26 04:23:00-04:00,378.7,378.76,378.7,378.76,378.76,0,
2023-07-26 04:24:00-04:00,378.7,378.7,378.67,378.67,378.67,0,
2023-07-26 04:25:00-04:00,378.71,378.71,378.71,378.71,378.71,0,
2023-07-26 04:26:00-04:00,378.74,378.75,378.7,378.75,378.75,0,
2023-07-26 04:27:00-04:00,378.76,378.76,378.76,378.76,378.76,0,
2023-07-26 04:28:00-04:00,378.75,378.76,378.75,378.76,378.76,0,
2023-07-26 04:29:00-04:00,378.73,378.73,378.71,378.71,378.71,0,
2023-07-26 04:30:00-04:00,378.75,378.75,378.6,378.6,378.6,0,
2023-07-26 04:31:00-04:00,378.66,378.66,378.63,378.63,378.63,0,
2023-07-26 04:32:00-04:00,378.67,378.67,378.64,378.64,378.64,0,
2023-07-26 04:33:00-04:00,378.64,378.65,378.64,378.65,378.65,0,
2023-07-26 04:34:00-04:00,378.61,378.68,378.61,378.68,378.68,0,
2023-07-26 04:35:00-04:00,378.65,378.65,378.65,378.65,378.65,0,
2023-07-26 04:36:00-04:00,378.65,378.71,378.65,378.69,378.69,0,
2023-07-26 04:37:00-04:00,378.61,378.61,378.61,378.61,378.61,0,
2023-07-26 04:38:00-04:00,378.57,378.59,378.57,378.59,378.59,0,
2023-07-26 04:39:00-04:00,378.66,378.66,378.65,378.65,378.65,0,
